latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.1011,42.402,336.6,1.8,1.3,2012-04-09,1017,Aqua,MODIS,80,6.03,312.5,29.5,D,0
12.3299,42.4142,331,4.2,1.9,2012-04-29,0827,Terra,MODIS,27,6.03,305,94.2,D,0
12.3173,42.394,334.8,1.8,1.3,2012-05-10,0808,Terra,MODIS,46,6.03,309.2,30.4,D,0
12.3145,42.4105,334.6,1.8,1.3,2012-05-10,0808,Terra,MODIS,52,6.03,309,36.7,D,0
11.8654,42.0898,335.6,1.1,1.1,2012-05-12,0756,Terra,MODIS,66,6.03,311.3,16.1,D,0
11.4428,42.3142,333.2,3.4,1.7,2012-05-13,1005,Aqua,MODIS,85,6.03,308.1,57.4,D,0
11.4593,41.9733,331.5,2.7,1.6,2012-05-20,1011,Aqua,MODIS,37,6.03,308.4,43.6,D,0
12.2884,42.4246,327.3,1.9,1.3,2013-03-26,0809,Terra,MODIS,25,6.03,302.7,37.6,D,0
11.2897,42.2881,347.3,1,1,2013-04-06,0751,Terra,MODIS,90,6.03,314.1,35.1,D,0
11.8622,42.0961,332.6,2.3,1.5,2013-04-18,0815,Terra,MODIS,64,6.03,307.6,44.9,D,0
11.4459,42.2883,331.7,2.5,1.5,2013-04-18,0815,Terra,MODIS,53,6.03,307.2,39,D,0
11.8685,42.0957,337.2,1.4,1.2,2013-04-20,0803,Terra,MODIS,77,6.03,314.2,26.8,D,0
11.8582,42.0938,334.6,1.4,1.2,2013-04-20,0803,Terra,MODIS,57,6.03,311.4,20.1,D,0
11.4418,42.3164,336.6,1.5,1.2,2013-04-20,0803,Terra,MODIS,58,6.03,312.5,22,D,0
11.45,42.2938,337,2.5,1.5,2013-04-21,1011,Aqua,MODIS,79,6.03,311.6,47.9,D,0
12.3107,42.4144,335.2,3.2,1.7,2013-04-25,0821,Terra,MODIS,74,6.03,306.6,84.6,D,0
11.521,41.9021,334.9,1.6,1.2,2013-05-05,1023,Aqua,MODIS,51,6.03,310.6,22.3,D,0
11.4319,42.3375,330.9,3.3,1.7,2013-08-20,1004,Aqua,MODIS,69,6.03,304.8,57,D,0
11.4471,42.3344,330.4,3.3,1.7,2013-08-20,1004,Aqua,MODIS,62,6.03,304.4,50.9,D,0
11.6052,43.1424,313.1,2.1,1.4,2013-10-12,0720,Terra,MODIS,57,6.03,301.5,19.4,D,3
11.6076,43.1492,311.2,1.6,1.3,2014-02-02,0802,Terra,MODIS,37,6.03,299.3,12.9,D,3
11.8615,42.091,342.9,1,1,2014-04-04,1036,Aqua,MODIS,42,6.03,316.8,24.1,D,0
12.3203,42.4004,332.3,3.1,1.7,2014-04-28,0821,Terra,MODIS,51,6.03,306.4,79.1,D,0
12.3054,42.3979,334.4,3.1,1.7,2014-04-28,0821,Terra,MODIS,40,6.03,306.1,93.6,D,0
11.5833,41.9838,328.9,3,1.7,2014-04-28,0821,Terra,MODIS,43,6.03,303.6,39.3,D,0
11.4351,42.2975,329.5,3.2,1.7,2014-04-28,0821,Terra,MODIS,60,6.03,301.8,43.6,D,0
12.3151,42.396,335.5,1.8,1.3,2014-04-30,0809,Terra,MODIS,66,6.03,309.1,28.7,D,0
12.3123,42.4124,338.3,1.8,1.3,2014-04-30,0809,Terra,MODIS,77,6.03,312.3,38,D,0
11.5338,41.8716,325.7,2.1,1.4,2014-05-01,1017,Aqua,MODIS,28,6.03,299.6,15.7,D,0
11.5461,41.8685,329.4,2.1,1.4,2014-05-01,1017,Aqua,MODIS,35,6.03,303,31.1,D,0
11.5584,41.8655,332,2.1,1.4,2014-05-01,1017,Aqua,MODIS,38,6.03,305.4,38.2,D,0
11.8649,42.1077,337.2,1.1,1.1,2014-05-02,0757,Terra,MODIS,76,6.03,315.2,19.5,D,0
11.857,42.096,340.3,1.1,1.1,2014-05-02,0757,Terra,MODIS,67,6.03,314.1,24.5,D,0
11.7469,42.2091,336.3,1.1,1.1,2014-05-02,0757,Terra,MODIS,72,6.03,312.4,15.4,D,0
11.4647,42.306,338.1,1.2,1.1,2014-05-02,0757,Terra,MODIS,80,6.03,312.4,19.5,D,0
11.4568,42.294,338.3,1.2,1.1,2014-05-02,0757,Terra,MODIS,70,6.03,311.1,21.8,D,0
11.4551,42.3044,338.3,1.2,1.1,2014-05-02,0757,Terra,MODIS,77,6.03,311.1,20.5,D,0
11.4534,42.3149,335.9,1.2,1.1,2014-05-02,0757,Terra,MODIS,77,6.03,309.7,14.9,D,0
11.4736,41.9494,328.8,3.6,1.8,2014-05-03,1005,Aqua,MODIS,82,6.03,306.1,46.5,D,0
11.8685,42.0945,333.6,4,1.9,2014-05-05,0827,Terra,MODIS,73,6.03,309.7,94.7,D,0
11.612,41.9927,331.1,4,1.9,2014-05-05,0827,Terra,MODIS,29,6.03,307.8,80.3,D,0
11.5381,41.8979,332.6,3.9,1.8,2014-05-05,0827,Terra,MODIS,36,6.03,308.5,75.7,D,0
11.4553,42.3394,331.5,4.3,1.9,2014-05-05,0827,Terra,MODIS,62,6.03,307.1,85.9,D,0
11.4456,42.2983,333.1,4.3,1.9,2014-05-05,0827,Terra,MODIS,74,6.03,307.2,92.5,D,0
11.4384,42.3361,331.1,4.3,1.9,2014-05-05,0827,Terra,MODIS,67,6.03,307.3,84.4,D,0
11.4423,42.2924,332.3,4.3,1.9,2014-05-05,0827,Terra,MODIS,73,6.03,307.1,83.7,D,0
11.4354,42.3302,331.3,4.3,1.9,2014-05-05,0827,Terra,MODIS,71,6.03,307.6,85.3,D,0
